nu_cm^-1,lambda_nm,k_cm^-1,sigma_cm2_per_molecule
10751.139545,930.133960046186,2.8277319514966047e-23,1.1096789157464397e-42
10751.129545,930.1348251961743,2.828017351066558e-23,1.1097909142989097e-42
10751.119545,930.1356903477721,2.828302765221713e-23,1.1099029185750092e-42
10751.109545,930.1365555009793,2.828588193952309e-23,1.1100149285709081e-42
10751.099545,930.1374206557958,2.8288736372486227e-23,1.110126944282791e-42
10751.089544999999,930.138285812222,2.82915909510091e-23,1.1102389657068335e-42
10751.079545,930.1391509702572,2.8294445674993545e-23,1.1103509928391839e-42
10751.069545,930.1400161299022,2.829730054434311e-23,1.1104630256760567e-42
10751.059545,930.1408812911565,2.830015555895959e-23,1.1105750642135984e-42
10751.049545,930.1417464540203,2.830301071874556e-23,1.1106871084479856e-42
10751.039545,930.1426116184936,2.830586602360294e-23,1.1107991583753696e-42
10751.029545,930.1434767845763,2.830872147343411e-23,1.1109112139919193e-42
10751.019545,930.1443419522684,2.8311577068141056e-23,1.1110232752937882e-42
10751.009544999999,930.14520712157,2.831443280762611e-23,1.111135342277144e-42
10750.999545,930.1460722924809,2.831728869179067e-23,1.111247414938117e-42
10750.989545,930.1469374650014,2.832014472053759e-23,1.111359493272895e-42
10750.979545,930.1478026391316,2.832300089376857e-23,1.1114715772776204e-42
10750.969545,930.148667814871,2.832585721138531e-23,1.1115836669484357e-42
10750.959545,930.14953299222,2.832871367328952e-23,1.1116957622814837e-42
10750.949545,930.1503981711785,2.833157027938323e-23,1.1118078632729199e-42
10750.939545,930.1512633517465,2.8334427029567816e-23,1.1119199699188737e-42
10750.929544999999,930.1521285339239,2.833728392374514e-23,1.1120320822154942e-42
10750.919544999999,930.152993717711,2.8340140961816705e-23,1.1121442001589162e-42
10750.909545,930.1538589031073,2.8342998143683405e-23,1.11225632374525e-42
10750.899545,930.1547240901133,2.834585546924786e-23,1.1123684529706748e-42
10750.889545,930.1555892787288,2.8348712938410966e-23,1.112480587831301e-42
10750.879545,930.1564544689539,2.8351570551074134e-23,1.11259272832326e-42
10750.869545,930.1573196607885,2.835442830713842e-23,1.1127048744426686e-42
10750.859545,930.1581848542326,2.835728620650529e-23,1.1128170261856605e-42
10750.849545,930.1590500492862,2.8360144249075705e-23,1.112929183548349e-42
10750.839544999999,930.1599152459494,2.83630024347511e-23,1.1130413465268658e-42
10750.829545,930.1607804442219,2.8365860763431855e-23,1.113153515117302e-42
10750.819545,930.1616456441042,2.83687192350199e-23,1.1132656893158088e-42
10750.809545,930.162510845596,2.837157784941575e-23,1.1133778691184823e-42
10750.799545,930.1633760486974,2.8374436606520474e-23,1.1134900545214402e-42
10750.789545,930.1642412534084,2.837729550623462e-23,1.1136022455207796e-42
10750.779545,930.1651064597289,2.838015454845917e-23,1.1137144421126146e-42
10750.769545,930.1659716676589,2.8383013733094806e-23,1.113826644293048e-42
10750.759544999999,930.1668368771986,2.838587306004214e-23,1.1139388520581796e-42
10750.749545,930.1677020883477,2.8388732529201335e-23,1.1140510654040911e-42
10750.739545,930.1685673011065,2.839159214047391e-23,1.1141632843269182e-42
